I,Q
-11757,6614
-9348,7799
-6623,7089
-4970,4989
-5218,2348
-7082,-101
-9389,-1778
-10804,-2460
-10441,-2269
-8301,-1783
-5034,-2019
-1546,-3958
1251,-7972
2732,-13572
2592,-19246
995,-22899
-1467,-22763
-3971,-18033
-5744,-9601
-6336,268
-5685,8528
-4038,12647
-1698,11604
886,6143
3325,-1351
5060,-7888
5422,-11030
4058,-9754
1154,-4707
-2325,2143
-4822,8331
-4845,11865
-1669,11957
3991,9184
10189,5126
14345,1324
14253,-1109
9171,-2014
245,-1880
-9638,-1401
-16941,-988
-19040,-536
-15364,174
-7699,1235
614,2274
6285,2604
7571,1690
4814,-493
40,-3312
-4347,-5591
-6518,-6277
-5870,-4797
-2862,-1456
1489,2689
6064,6307
9732,8244
11640,8162
11257,6516
8537,4208
4162,1971
-596,-3
-4282,-2057
-5777,-4703
-4713,-7836
-1781,-10661
1651,-12035
4131,-11047
4598,-7805
2805,-3239
-480,1264
-4011,4794
-6311,6928
-6145,7735
-3174,7303
1943,5551
7553,2504
11556,-1352
12385,-4950
9700,-6839
4565,-6049
-962,-2670
-4840,2063
-5843,6325
-4081,8643
-591,8548
3244,6606
6392,3933
8314,1593
8828,363
8008,516
6100,2106
3953,4845
2828,8246
3764,11665
6882,14405
10942,15951
13818,15871
13737,13815
10325,9657
4997,3800
37,-2677
-2583,-8146
-2427,-11068
-670,-10817
896,-8057
823,-4450
-1213,-1766
-4444,-865
-7671,-1319
-9858,-1992
-10426,-1895
-9259,-1008
-6716,-93
-3691,-41
-1346,-1002
-1009,-2215
-3335,-2377
-7737,-590
-12348,2897
-14765,6732
-13324,9138
-7946,8880
-416,5971
6682,1650
11190,-2284
12414,-4351
11107,-4189
8773,-2526
6552,-798
4882,-139
3504,-941
1817,-2660
-456,-4312
-2994,-4990
-5195,-4372
-6527,-2699
-6815,-524
-6076,1508
-4641,2681
-2802,2549
-875,1075
635,-1190
1082,-3155
-114,-3770
-3216,-2530
-7726,17
-12120,2459
-14426,3306
-13038,2100
-7713,-470
2,-2916
7409,-3943
11736,-3543
11557,-2812
7430,-3363
1469,-5983
-3718,-9991
-6328,-13353
-5974,-13871
-3451,-10596
-319,-4521
2210,1796
3661,5468
4114,4907
3912,610
3401,-5119
2591,-9439
1610,-10504
519,-8293
-259,-4548
-414,-1806
25,-1801
547,-4613
330,-8659
-1328,-11578
-4348,-11929
-7882,-9771
-10469,-6712
-10854,-4839
-8714,-5476
-4812,-8063
-689,-10770
2130,-11411
3076,-8927
2531,-4134
1580,817
1322,3657
2217,3352
3877,597
5176,-2677
5036,-4501
2882,-3985
-915,-1505
-5179,1505
-8345,3514
-9253,3576
-7736,1722
-4556,-1163
-1174,-3950
1161,-5554
1569,-5330
77,-3370
-2670,-316
-5712,2789
-8037,4999
-8734,5718
-7120,4987
-3024,3110
2858,693
8854,-1696
12775,-3662
12845,-4987
8745,-5594
2001,-5583
-4802,-5234
-9004,-4591
-9389,-3561
-6688,-1943
-3184,280
-1369,2733
-2781,4487
-7268,4500
-12914,2167
-17177,-2144
-17776,-7009
-13980,-10607
-6818,-11341
1336,-8687
7617,-3159
10140,3941
8819,11019
5365,16694
2268,19985
1424,20230
3171,17461
6235,12246
8809,5572
9622,-1265
8669,-7114
6999,-11370
5979,-13929
6342,-14776
7911,-13902
9698,-11047
10436,-6107
9377,569
6440,7497
2420,12703
-1508,14303
-4341,11400
-5635,4676
-5542,-3538
-4582,-10306
-3252,-13162
-1574,-11204
702,-5424
3690,1782
6947,7687
9445,10383
10168,9570
8601,6527
5140,3227
938,1374
-2783,1508
-5234,2900
-6252,4006
-6002,3549
-4799,1111
-2772,-2839
-140,-7168
2650,-10680
4848,-12531
5759,-12437
4930,-10708
2654,-8222
-245,-5966
-2716,-4693
-4003,-4452
-4028,-4751
-3199,-4791
-2104,-4046
-1145,-2768
-278,-1769
675,-1731
1828,-2634
3015,-3634
3791,-3645
3778,-2163
3014,243
2136,2307
1976,2943
3065,2213
5329,1218
8060,1417
10436,3765
11921,7913
12535,12607
12446,16304
11766,17844
10118,16894
6981,13789
2119,9293
-3991,4282
-10052,-519
-14335,-4303
-15494,-6452
-13138,-6686
-8061,-5204
-1982,-2540
3255,637
6284,3672
6684,6114
4800,7718
1660,8210
-1266,7368
-2619,5279
-1622,2592
1594,394
5783,-299
9010,771
9588,2798
6966,4258
2219,3772
-2430,1228
-4873,-2044
-4209,-3964
-1194,-2880
2184,1086
3987,6123
3367,9809
1029,10434
-1340,8106
-2192,4316
-989,1031
1439,-471
3734,-310
4861,473
4890,631
4684,-488
5230,-2839
6676,-5570
8042,-7470
7892,-7292
5402,-4388
920,845
-3959,6781
-7183,10867
-7357,10814
-4407,5918
499,-2196
5520,-10265
9130,-15084
10781,-15279
10778,-11790
10000,-7383
9348,-4557
9260,-4179
9646,-5175
10134,-5577
10244,-3912
9801,-212
9127,4297
8833,7953
9514,9778
11239,9718
13467,8331
15144,6122
15413,3363
13834,436
10752,-1938
6979,-2545
3540,-452
1324,4242
670,9937
1175,14177
2039,14663
2473,10554
2233,3111
1708,-4877
1622,-10508
2590,-12271
4596,-10323
7071,-6280
9116,-1969
10128,1481
9925,4033
8844,5968
7427,7228
6105,7335
4988,5728
4033,2526
3224,-1183
2527,-3827
1766,-4230
700,-2459
-852,277
-2796,2306
-4435,2504
-4843,786
-3324,-1908
-112,-4215
3669,-5372
6259,-5245
6151,-4313
3040,-3189
-1959,-2292
-6878,-1473
-9903,-274
-10310,1841
-8668,5218
-6290,9695
-4187,14675
-2532,18999
-825,21354
1301,20707
3461,16863
4672,10716
3933,3942
1080,-1653
-2959,-5062
-6556,-6095
-8283,-5432
-7744,-3951
-5393,-2229
-2266,-342
720,1839
3098,4036
4920,5504
6334,5421
7417,3379
8220,-219
8741,-4075
9021,-6648
9149,-7022
9271,-5324
9373,-2675
9516,-441
9533,309
9080,-458
7838,-1925
5696,-2890
3010,-2330
468,-166
-1202,2841
-1957,5366
-2603,6163
-4369,4695
-7971,1288
-12888,-2903
-17302,-6294
-19001,-7591
-16866,-6216
-11594,-2492
-5405,2362
-815,6600
884,8665
259,7755
-770,4530
-500,817
1551,-1223
4260,-61
5581,4050
4003,9016
-545,11943
-6415,10637
-11239,4943
-13044,-3077
-11225,-10140
-6459,-13385
-387,-11961
5261,-7302
9181,-2128
10878,1037
10488,1298
8723,-512
6553,-2322
4917,-2389
4330,-211
4829,3330
6016,6385
7328,7271
8377,5381
9201,1386
10036,-2942
11029,-5816
11903,-6201
12002,-4289
10610,-1174
7547,1753
3312,3609
-967,4247
-4026,4000
-4845,3295
-3030,2191
1015,474
6323,-1939
11526,-4643
15143,-6750
16014,-7465
13603,-6579
8425,-4703
1841,-2838
-4076,-1773
-7562,-1423
-7826,-1072
-5592,60
-2525,2032
-450,4156
-182,5485
-1165,5389
-2008,3969
-1336,1851
1297,-163
5055,-1653
8284,-2565
9561,-2967
8507,-2780
5961,-1816
3414,-94
2125,1926
2665,3464
4444,4002
6430,3659
7368,3261
6584,3855
4263,5661
1257,7782
-1035,8626
-1593,7060
-253,3498
2119,-253
4014,-1958
4083,-546
1630,3031
-2821,6297
-7926,6741
-12147,3526
-14288,-1939
-13808,-6760
-11069,-8356
-6955,-6020
-2496,-1273
1230,3135
3425,4716
3602,2584
1839,-2316
-1100,-7677
-4011,-11236
-5739,-11668
-5649,-9251
-3918,-5464
-1428,-2174
976,-928
2702,-1944
3979,-4322
5310,-6509
7109,-7025
9067,-5457
10284,-2625
9837,-114
7505,707
3967,-507
769,-2906
-753,-4826
-120,-4917
1813,-3009
3663,-131
4208,1992
3001,2096
595,-30
-1936,-3337
-3516,-6120
-3533,-7131
-2047,-6278
216,-4506
2285,-3073
3348,-2473
2990,-2058
1471,-540
-385,2957
-1600,8138
-1488,13262
61,16089
2476,15032
5038,10097
7025,3007
8211,-3656
8771,-7688
9190,-7983
9801,-5134
10723,-933
11759,2566
12709,3979
13120,3048
12637,611
10939,-1833
8044,-2958
4189,-2212
154,-101
-3048,2209
-4604,3535
-3980,3544
-1349,2921
2538,2876
6590,4209
9735,6687
11203,9195
10679,10333
8680,9397
6109,6858
4036,4098
3200,2490
3727,2645
4940,4028
5844,5433
5502,5820
3680,5134
953,4092
-1692,3598
-3586,3831
-4945,4347
-6449,4287
-8841,3066
-12104,944
-14990,-1280
-15581,-2929
-12474,-3821
-5720,-4452
2952,-5634
10618,-7971
14509,-11270
13275,-14438
7577,-16200
-52,-15525
-6398,-12306
-8829,-7217
-6440,-1531
-162,3536
7678,7088
14357,8681
18035,8224
18243,6031
15833,2882
12136,-107
8271,-1714
4584,-1019
761,2055
-3515,6518
-8050,10659
-11874,12627
-13633,11204
-12450,6464
-8726,-362
-3805,-7260
358,-12265
2281,-13918
1625,-11724
-688,-6350
-3165,642
-4575,7088
-4642,11143
-4048,11963
-3856,10202
-4776,7544
-6712,5652
-8764,5233
-9770,5701
-8839,5854
-5979,4644
-1827,2210
2447,-327
5744,-1508
7401,-608
7427,1858
6265,4453
4518,5878
2562,5652
653,4487
-1256,3613
-3134,3814
-4909,4798
-6380,5432
-7196,4421
-7100,1450
-6041,-2603
-4147,-6116
-1843,-7568
338,-6539
1890,-4002
2643,-1744
2719,-1224
2558,-2799
2578,-5542
2936,-7933
3238,-8675
3054,-7385
2327,-4658
1511,-1546
1343,1037
2316,2733
4017,3550
5554,3585
6017,2742
5219,920
3869,-1732
3184,-4480
4083,-6349
6654,-6496
10071,-4971
13024,-2627
14311,-776
13505,-336
10640,-1403
6246,-3250
1098,-4995
-4072,-6103
-8428,-6505
-11238,-6378
-12104,-5858
-11205,-4958
-9285,-3938
-7274,-3368
-5823,-4049
-5068,-6313
-4572,-9447
-3654,-11814
-1988,-11541
222,-7770
2382,-1394
3851,5079
4328,8773
4087,7873
3594,2628
3150,-4673
2601,-11046
1296,-14163
-1190,-13533
-4638,-10347
-7883,-6724
-9441,-4403
-8314,-3787
-4875,-4073
-646,-3867
2709,-2476
4241,-518
4373,524
4425,-610
5469,-3759
7556,-7253
9633,-8766
10406,-6788
9385,-1702
7131,4218
4873,8010
3541,7631
2905,3170
1824,-3142
-1043,-8006
-5956,-8820
-11632,-5014
-15856,1578
-16514,7562
-12876,9722
-5996,6704
1820,-518
8026,-9022
11066,-15496
10718,-17717
8119,-15422
4918,-10050
2498,-3995
1446,584
1509,2570
1859,1927
1694,-447
680,-3282
-945,-5489
-2533,-6442
-3458,-6301
-3180,-5563
-1424,-4756
1701,-4197
5631,-3666
9494,-2880
12111,-1685
12363,-414
9674,460
4373,635
-2246,218
-8251,-340
-11718,-793
-11497,-1349
-7891,-2609
-2424,-4998
2568,-8360
4870,-11718
3400,-13749
-1357,-13436
-7464,-10473
-12315,-5492
-13649,135
-10519,4850
-3737,7182
4460,6388
11366,2623
14826,-2897
14016,-8360
9704,-12010
3577,-12814
-2297,-10735
-6181,-6756
-7110,-2124
-5023,2026
-797,4818
3937,5823
7284,4864
7865,2227
5238,-1526
13,-5261
-6210,-7654
-11594,-7867
-14671,-5946
-14871,-2920
-12730,-285
-9586,800
-6998,132
-6077,-1341
-7052,-2155
-9187,-1217
-11199,1475
-11905,4757
-10629,6867
-7562,6501
-3599,3697
174,-128
2772,-3050
3658,-3802
2892,-2508
799,-592
-1838,236
-4240,-899
-5778,-3391
-6059,-5684
-5345,-6123
-4233,-4035
-3376,-208
-3031,3714
-2958,6203
-2537,6586
-1137,5184
1389,2917
4496,882
7290,-105
8991,482
9448,2675
9177,5985
8998,9229
9348,11036
10081,10447
10465,7417
9825,2932
8098,-1458
5906,-4565
4246,-5881
3737,-5699
4068,-4570
4231,-2699
3194,-34
461,3268
-3362,6386
-6859,7836
-8432,6394
-7182,2135
-3384,-3268
1615,-7348
5967,-8165
8136,-5401
7472,-613
4541,3726
863,5438
-1739,3585
-1912,-1157
639,-7094
4914,-12185
9262,-14777
11990,-14087
12361,-10326
10778,-4542
8575,1627
7226,6569
7618,9160
9449,8903
11347,6111
11583,1722
9070,-3117
3983,-7356
-2276,-10219
-7698,-11369
-10738,-10905
-10728,-9198
-8115,-6925
-4077,-4619
58,-2637
3146,-1132
4560,-33
4328,858
2957,1861
1449,3298
942,5293
2183,7345
5194,8637
9105,8183
12296,5686
13289,2206
11378,-335
6983,-110
1633,3315
-2987,8480
-5458,12818
-5247,14051
-2566,11613
1817,6887
6888,2301
11491,-83
14555,267
15345,2335
13874,4385
11020,4975
8094,3734
6312,1339
5971,-1089
6173,-2454
5444,-2316
2847,-949
-1277,792
-5342,1871
-7388,1600
-6282,74
-2486,-1731
2240,-2475
5908,-1151
7193,2111
6091,6069
3612,8976
997,9513
-762,7502
-1391,3793
-1303,-339
-1152,-3959
-1386,-6905
-2072,-9496
-2608,-12167
-2166,-14691
-212,-16050
3013,-14969
6234,-10462
7627,-2744
5817,6547
910,14708
-5352,18973
-10413,17876
-12193,11964
-10041,3647
-4905,-3868
1448,-8030
7487,-8052
12531,-5018
16715,-1100
20220,1637
22865,2252
23795,1094
22078,-750
17438,-2195
10504,-2724
2948,-2456
-3316,-1720
-6720,-675
-6518,647
-3147,2196
2040,3464
6965,3785
9605,2615
8594,236
4062,-2251
-2478,-3146
-8658,-1164
-12216,3562
-11861,9234
-7688,13102
-1059,12882
5992,8267
11260,1075
13259,-5749
11688,-9806
7652,-10575
3274,-9269
861,-7770
1641,-7137
5113,-7061
9155,-6264
11134,-3680
9453,490
4356,4795
-2125,7431
-7298,7440
-9412,5198
-8685,2017
-7050,-475
-6727,-1284
-8634,-427
-11863,1484
-14108,3622
-13277,5338
-8911,6193
-2563,5951
3079,4563
5834,2165
5217,-886
2748,-4100
747,-6850
776,-8314
2621,-7891
4540,-5316
4551,-934
1917,4245
-2304,8804
-5796,11357
-6483,11118
-3846,8323
726,4159
4819,285
6145,-1853
3979,-1655
-611,414
-5294,3098
-7860,4822
-7446,4414
-4653,1773
-1272,-2561
858,-7350
785,-11208
-1136,-13063
-3783,-12435
-5892,-9396
-6772,-4516
-6515,1295
-5728,6810
-5034,10835
-4675,12523
-4577,11810
-4434,9556
-4132,7023
-3589,5291
-2683,4614
-1462,4442
99,3649
1902,1498
3577,-2023
4450,-5914
3903,-8867
1593,-9885
-2249,-8929
-6872,-6854
-11296,-4906
-14453,-4238
-15662,-5201
-14666,-7085
-11610,-8611
-7148,-8656
-2097,-6780
2601,-3547
5899,-178
6984,2033
5560,2620
1987,1990
-2414,999
-5911,329
-7024,-37
-5300,-740
-1646,-2378
1967,-4802
3562,-7147
2463,-8071
-523,-6802
-3294,-3636
-3671,276
-869,3523
4155,5190
9078,5390
11614,4781
10681,4029
6859,3342
1946,2452
-1888,1040
-3252,-778
-1889,-2362
1467,-2990
5537,-2554
9091,-1799
11214,-1994
11536,-4047
10237,-7866
7816,-12149
4852,-14945
1879,-14795
-663,-11503
-2592,-6253
-3656,-1086
-3669,2239
-2485,3135
-251,2273
2598,1045
5324,752
6934,1796
6747,3669
4617,5030
1377,4607
-1281,1839
-1698,-2748
1098,-7762
6611,-11482
12971,-12725
17690,-11439
18827,-8519
15907,-5366
10143,-3135
3829,-2327
-650,-2800
-1902,-3953
-99,-5229
3363,-6229
6493,-6709
7680,-6393
6311,-5094
2926,-2861
-1190,-338
-4585,1511
-6136,1727
-5511,151
-3257,-2556
-536,-5165
1418,-6538
1711,-6231
322,-4501
-1930,-2070
-3599,301
-3323,2127
-490,3121
4360,3182
9697,2331
13529,797
14295,-942
11708,-2438
6763,-3349
1227,-3703
-3099,-3762
-5165,-3684
-4895,-3256
-2984,-1967
-533,576
1462,4381
2439,8493
2357,11402
1638,11544
881,8169
444,1611
434,-6510
622,-13799
662,-17835
386,-17110
83,-11667
228,-3310
1139,5157
2891,10806
5062,12052
7114,9451
8581,5216
9398,1949
9736,1052
9698,2272
9172,3892
7743,4282
5133,2992
1495,1307
-2398,1077
-5409,3430
-6677,7618
-5857,11347
-3476,12149
-507,8879
2067,2481
3674,-4710
4276,-10138
4113,-12369
3521,-11470
2742,-8594
2056,-5216
1750,-2488
2113,-1153
3356,-1406
5308,-2991
7375,-4970
8782,-6284
8856,-6107
7039,-4121
3399,-982
-1374,2074
-6068,3785
-9278,3593
-9840,1730
-7513,-864
-3073,-3088
1872,-4232
5462,-4240
6625,-3817
5638,-4079
3761,-5828
2645,-8970
3182,-12418
4963,-14418
6475,-13619
6122,-9934
3182,-4682
-1753,43
-6970,2597
-10623,2691
-11245,1225
-8428,-602
-2646,-2350
4920,-4601
12602,-8298
18660,-13521
21446,-18938
20071,-22040
14814,-20781
7322,-14938
14,-6473
-4798,1240
-5851,5321
-3362,4579
1170,21
5933,-6027
9182,-11098
10060,-13680
8552,-13645
5156,-11657
784,-8620
-3557,-5384
-7086,-2563
-9324,-586
-10322,95
-10417,-722
-10063,-2879
-9589,-5622
-9077,-7946
-8518,-9037
-7812,-8629
-7076,-7033
-6338,-4906
-5694,-3039
-5034,-2174
-4167,-2634
-3000,-4356
-1603,-6818
-407,-9232
21,-10912
-642,-11495
-2129,-11053
-3578,-10017
-3697,-8833
-1669,-7442
2161,-5616
6125,-3106
7967,-194
5962,2287
153,3434
-7566,2717
-14384,475
-17937,-2280
-17451,-4581
-13699,-6040
-8116,-6969
-2137,-7860
3263,-8841
7309,-9352
9190,-8497
8073,-5726
3791,-1311
-2710,3433
-9470,6700
-14180,7132
-15470,4541
-13401,8
-9408,-4418
-5395,-6808
-2658,-6195
-1488,-3017
-1322,798
-1295,3119
-729,2705
566,1
2447,-3203
4537,-4687
6302,-3431
7209,-227
6823,2791
5177,3573
2716,1325
156,-2837
-1889,-6621
-3275,-7952
-4253,-5975
-5339,-1375
-6742,4012
-8146,8333
-8958,10280
-8526,9554
-6637,6799
-3739,3261
-597,342
1981,-1079
3553,-963
4225,-189
4307,-3
4330,-1396
4530,-4220
4890,-7282
5289,-8995
5489,-8108
5454,-4785
5250,-271
4960,3773
4566,6348
3898,7340
2868,7455
1679,7495
775,7694
518,7698
859,7177
1051,6055
160,4865
-2161,4388
-5280,5057
-7417,6805
-6845,8773
-3031,9795
2675,8988
7586,6185
9261,2181
6911,-1601
1926,-3799
-3020,-3727
-5633,-1730
-5215,1118
-2799,3669
-414,5533
455,6938
-459,8572
-2212,10752
-3437,12846
-3285,13767
-1901,12494
-198,9011
789,4384
511,209
-726,-2304
-2078,-2843
-2575,-1950
-1769,-342
165,1477
2548,3406
4677,5184
6206,6343
7337,6021
8167,3541
8348,-933
6972,-6361
3248,-11042
-2585,-13415
-8657,-12976
-12192,-10224
-10847,-6575
-4418,-3588
4691,-2151
12565,-2185
15715,-2905
12872,-3178
5522,-2238
-3245,-30
-10331,2880
-14105,5676
-14502,7563
-12450,8243
-9237,7933
-5829,7237
-3088,6817
-1602,7158
-1519,8361
-2441,10048
-3462,11473
-3568,11708
-2266,9889
126,5758
2633,-253
4249,-6876
4593,-12547
4052,-15884
3470,-16359
3563,-14467
4433,-11466
5521,-8761
6193,-7217
5884,-6675
4600,-6101
2707,-4175
881,-135
-291,5557
-311,11375
769,15492
2415,16603
3766,14451
4069,9897
2823,4628
151,286
-3238,-2095
-6257,-2228
-7586,-705
-6417,1575
-2794,3800
2282,5627
7290,7152
10673,8760
11762,10784
10802,13015
8727,14997
6526,16100
4919,15949
4090,14521
3778,12318
3568,9948
3089,7967
2084,6630
352,5698
-1902,4819
-4110,3665
-5354,2178
-4777,824
-2015,250
1986,718
5478,1788
6568,2357
4319,1312
-525,-1616
-5763,-5443
-8838,-8094
-8150,-7585
-3940,-3248
1859,3644
6761,10215
9013,13590
8413,12222
6316,6819
4759,-173
5132,-5865
7509,-8327
10726,-7350
13062,-4202
13083,-775
10432,1374
5911,1630
801,514
-3610,-1039
-6654,-2123
-8454,-2439
-9531,-2361
-10313,-2659
-10699,-3761
-10258,-5489
-8522,-6905
-5687,-6921
-2733,-4838
-978,-954
-1204,3632
-3183,7352
-5787,8986
-7652,8127
-8124,5254
-7540,1416
-6764,-2195
-6418,-4846
-6309,-6233
-5905,-6324
-4951,-5416
-3900,-3970
-3652,-2482
-4545,-1546
-5972,-1452
-6462,-1941
-4687,-2254
-757,-1458
3673,861
6415,4063
6184,6810
3759,7720
1522,6302
1930,3244
5769,108
11432,-1748
15811,-1833
16000,-793
11172,269
2836,492
-5926,-179
-12099,-1189
-14043,-1723
-11978,-1406
-7606,-319
-2938,1166
605,2614
2585,3620
3337,3946
3269,3366
2560,1954
949,71
-1769,-1687
-5340,-2775
-8980,-2957
