I,Q
1990,-2915
3421,-3791
4437,-4117
4448,-2373
3702,144
2431,2400
2274,3417
3330,2712
5877,1540
8854,1754
11593,4402
13016,9037
13248,14035
12762,18410
11772,20063
10230,19126
7188,16085
2388,11114
-4185,5467
-10917,-336
-15467,-5046
-16804,-7765
-14585,-8085
-9350,-6478
-2700,-3421
3292,457
6682,4039
7381,6963
5284,8928
2013,9423
-1436,8510
-3096,6140
-2026,3204
1488,682
6120,-100
9942,988
10752,3297
7933,5073
2822,4555
-2432,1612
-5353,-2024
-4911,-4632
-1469,-3450
2211,754
4278,6748
3621,10810
941,11956
-1601,9450
-2672,5230
-1423,1470
1440,-347
4187,-372
5520,534
5658,913
5345,-427
5858,-2904
7731,-5641
9404,-8080
9368,-7882
6586,-5091
1488,615
-4236,7172
-8310,11731
-8746,11854
-5480,7131
-17,-1855
6036,-10716
10623,-15925
12580,-16372
12809,-12891
11884,-8247
10880,-5088
10643,-4237
11134,-5466
11612,-5784
11692,-4120
11356,-217
10457,4739
9788,8954
10155,11199
11884,11247
14402,9964
16323,7632
16911,4856
15651,1463
12526,-1415
8498,-2475
4377,-529
1674,4600
632,10742
761,15600
1648,16516
2277,12289
2466,4588
2048,-4730
2223,-11317
3286,-13506
5466,-11645
8185,-7304
10458,-2353
11477,1597
11165,4676
10046,6988
8141,8429
6684,8675
5618,6876
4568,3248
3790,-792
3042,-3923
2271,-4671
958,-2970
-734,131
-2971,2663
-4904,2752
-5417,824
-3940,-2102
-341,-4627
3861,-6114
7034,-5819
7186,-4771
3993,-3485
-1712,-2579
-7253,-1832
-10937,-905
-11702,1569
-10108,5290
-7679,10265
-5517,15607
-4066,20366
-2369,22951
-101,22539
2610,19089
4597,12712
4339,5494
1478,-1267
-2815,-5377
-6878,-7132
-9053,-6556
-8731,-4924
-6264,-3013
-2818,-745
626,1841
3323,4443
5244,6421
6885,6416
8244,4328
9312,417
10039,-3899
10403,-6943
10519,-7569
10661,-5822
10813,-2853
10895,-279
10757,613
10381,-47
9143,-1766
6709,-2974
3887,-2615
810,-355
-1144,3064
-2332,5857
-3183,6908
-5046,5295
-8866,1577
-14070,-3339
-18539,-7582
-20239,-9330
-18418,-7985
-13310,-3731
-6865,1933
-1490,6938
566,9644
192,8963
-1064,5593
-841,1307
1622,-1247
4671,-76
6124,4519
4357,10024
-486,13347
-7048,12042
-12749,5862
-14587,-3155
-12287,-11223
-7143,-15007
-503,-13843
5787,-8780
10163,-2653
12067,1265
11966,1820
9934,8
7756,-2352
5935,-2578
4963,-346
5374,3484
6672,7287
7979,8321
9122,6542
10343,2354
11431,-2503
12570,-5941
13511,-6390
13705,-4478
12278,-997
8879,2076
4202,4134
-924,4798
-4560,4481
-5576,3638
-3784,2597
667,666
6591,-1833
12677,-4505
16859,-6838
18113,-7278
15730,-6704
10222,-5027
2964,-3301
-4112,-2208
-8199,-1813
-8990,-1341
-6662,-193
-3318,2095
-750,4488
-390,6097
-1415,6105
-2459,4608
-1724,2123
1133,-56
5475,-1704
9129,-2621
10950,-2989
9757,-2822
7079,-1920
4336,-165
2517,1951
2825,3851
4811,4565
6984,4431
8129,4070
7386,4659
5156,6542
1483,8770
-1396,9718
-1923,8112
-556,4210
2072,177
4373,-2002
4776,-736
2074,3160
-3079,6809
-8619,7426
-13562,3951
-15754,-2297
-15169,-7961
-12401,-9801
-7916,-7405
-3206,-2107
888,3076
3552,5331
4018,3289
2223,-2083
-832,-8189
-3790,-12518
-5806,-13361
-6048,-10814
-4317,-6723
-1735,-2850
740,-1116
3005,-2042
4556,-4540
6116,-7174
8230,-7691
10291,-6047
11733,-2746
11150,81
8808,987
5036,-236
1165,-2998
-656,-5302
-100,-5724
2031,-3598
4001,-378
4785,2218
3566,2457
923,199
-2070,-3420
-3639,-6893
-3731,-8239
-2192,-7362
233,-5438
2558,-3708
3906,-2806
3689,-2420
1815,-775
-194,3232
-1894,8784
-2167,14351
-927,17715
1779,16997
4855,12071
7524,4297
9151,-3165
10073,-8134
10635,-8700
11307,-5692
12065,-1033
13052,2957
14111,4901
14504,4036
14290,1443
12574,-1292
9559,-2837
5367,-2469
599,-321
-3247,2244
-5141,3798
-4696,3868
-1926,3400
2543,3335
6994,4855
10508,7565
12080,10663
11475,11760
9530,11140
6976,8378
4658,5095
3645,3231
4130,3121
5456,4618
6481,6276
6161,7048
4175,6201
1236,4934
-1764,4108
-4119,4303
-5646,4723
-7533,4773
-9932,3346
-13411,757
-16468,-1860
-17262,-3935
-14123,-4813
-6893,-5419
2799,-6404
11537,-8424
16296,-11500
15574,-14830
9588,-17177
1369,-17132
-5866,-14332
-9269,-8912
-7373,-2456
-928,3469
7757,7850
14957,10182
19067,10112
19578,7931
17494,4173
13772,624
9894,-1339
5624,-1128
1265,2187
-3727,6950
-9104,11304
-13575,13366
-15659,11866
-14489,7215
-10353,-226
-4764,-7731
535,-13437
3053,-15478
2488,-13288
-246,-7684
-3148,2
-5221,7341
-5623,11987
-5099,13171
-4769,11614
-5625,8661
-7736,6413
-10007,5718
-11139,6066
-10278,6148
-7307,5241
-2743,2641
2329,-150
6327,-1456
8474,-545
8371,2196
7131,5112
5128,6820
3035,6717
768,5386
-1453,4220
-3481,4205
-5613,5392
-7407,5921
-8370,4862
-8093,1565
-6977,-2776
-4779,-6812
-2116,-8725
435,-7575
2213,-4848
3082,-1952
3173,-1420
3076,-3008
3079,-6059
3471,-8621
3912,-9720
3633,-8490
3098,-5454
1993,-2128
1517,1027
2490,3159
4289,4128
6203,4302
6618,3478
5999,1551
4564,-1481
3870,-4711
4749,-6879
7424,-7261
11295,-5395
14486,-2761
16025,-447
15386,-42
12203,-976
7557,-3274
1846,-5324
-3987,-6872
-8850,-7499
-12153,-7714
-13239,-7073
-12543,-6001
-10520,-4898
-8292,-4131
-6726,-4773
-5622,-7215
-4941,-10553
-3695,-13411
-1943,-13217
426,-9381
2692,-2248
4219,5319
4650,9814
4413,9206
3875,3657
3769,-4664
3169,-11826
2102,-15597
-500,-15315
-4401,-12056
-8174,-8273
-10489,-5597
-9450,-4857
-5938,-4883
-1029,-4645
2902,-2958
4893,-760
5018,641
5148,-459
6263,-3699
8556,-7618
10905,-9521
12013,-7518
10802,-2033
8415,4462
5538,8744
3976,8989
3160,4227
2193,-2861
-710,-8689
-5965,-10034
-12335,-6453
-17243,476
-18591,6879
-15171,10005
-7634,7366
1251,98
8686,-9185
12841,-16056
12791,-18533
10172,-16667
6367,-11416
3264,-4989
1983,213
1765,2804
2020,2468
1986,-118
896,-3376
-724,-6008
-2728,-7273
-3722,-7224
-3389,-6582
-1655,-5715
1801,-4872
6083,-4203
10690,-3161
13630,-1631
13959,116
11200,872
5580,988
-1785,262
-8754,-643
-12750,-1318
-13053,-1831
-9318,-3182
-3284,-5631
2701,-9157
5717,-12810
4525,-14965
-421,-15137
-7228,-12154
-13173,-7053
-15152,-1090
-12205,4483
-5143,7540
3989,7445
12105,3653
16223,-2275
15978,-8070
11748,-12551
5082,-14142
-1515,-12172
-6367,-8199
-7745,-3122
-5946,1676
-1377,5019
3916,6497
7734,5932
8619,3025
6251,-1154
631,-5711
-6177,-8685
-12211,-9197
-15810,-7444
-16240,-4110
-14560,-1053
-11121,359
-8301,-41
-7054,-1634
-7931,-2445
-10253,-1681
-12458,1022
-13392,4579
-12314,7178
-9110,7096
-4753,4419
-207,-9
3127,-3140
4183,-4224
3470,-2764
1140,-686
-1878,188
-4834,-885
-6366,-3658
-6798,-6463
-6084,-6952
-4717,-4984
-3959,-756
-3576,3834
-3436,6722
-3266,7402
-1755,6118
1229,3566
4869,1164
7921,198
10104,728
10687,3239
10107,6886
9908,10604
10062,12710
10712,12299
11454,9018
11072,4200
9358,-762
7015,-4713
5112,-6271
4515,-6438
4840,-5279
4932,-3122
3654,-128
866,3563
-3604,6885
-7752,8608
-9625,7044
-8352,2451
-4472,-3472
1553,-8099
6540,-9029
9334,-6054
8716,-1002
5499,4075
1172,6072
-2032,4342
-2274,-961
628,-7637
5627,-13089
10530,-15862
13886,-15047
14261,-11362
12626,-5085
9990,1685
8219,7288
8333,10300
9997,10521
12233,7543
12914,2791
10737,-2507
5138,-7778
-1485,-11231
-7521,-12881
-11214,-12666
-11593,-10936
-9150,-8390
-4845,-5695
-329,-3309
3364,-1298
5230,-133
4931,1116
3474,2220
1609,3773
1029,5996
2181,8233
5318,9685
9555,9586
13214,7033
14720,3313
12992,264
8414,149
2381,3579
-3061,8963
-6336,13889
-6517,15543
-3557,13195
1349,8251
7301,3207
12584,470
15913,876
17113,3140
15519,5334
12485,6205
9334,4604
7265,2067
6872,-811
7050,-2324
6480,-2445
3572,-1111
-1076,762
-5828,1949
-8280,1554
-7312,-57
-3180,-2100
2083,-2866
6344,-1324
8135,2334
7031,6618
3997,10101
1167,10899
-980,8749
-1728,4631
-1610,-52
-1394,-4264
-1312,-7699
-2051,-10603
-2506,-13416
-1766,-16410
202,-17863
3698,-16747
7262,-12055
8828,-3524
6798,6616
973,15855
-6145,20443
-12108,19110
-14117,13052
-11906,4439
-6109,-3897
1271,-8818
8315,-9030
13805,-5468
18369,-865
21920,2746
24498,4003
25471,2747
24095,859
19615,-1369
12669,-2253
4257,-2621
-3219,-1968
-7393,-1035
-7550,326
-3926,2128
1644,3932
7319,4509
10579,3544
9820,832
5133,-2090
-2197,-3488
-9140,-1732
-13563,3047
-13669,9260
-9504,13779
-2354,14349
5712,9895
11999,2271
14808,-5120
13602,-10007
9309,-11336
4467,-10255
1548,-8822
1957,-8084
5832,-7969
10352,-6889
12513,-4101
11069,587
5385,5333
-1960,8288
-8110,8361
-10647,5694
-10056,2393
-8307,-505
-7785,-1627
-9739,-852
-13126,1116
-15708,3383
-15122,5208
-10714,6483
-3829,6597
2742,5485
6375,2823
5967,-536
3472,-4131
1144,-7487
1172,-9226
3061,-9053
5313,-6224
5393,-1241
2391,4416
-2445,9578
-6679,12435
-7833,12212
-5048,9480
185,5103
5059,787
6933,-1633
4809,-1628
-145,278
-5641,3211
-8790,5144
-8826,4908
-6013,2134
-1782,-2596
813,-7892
1243,-12256
-598,-14634
-3340,-14157
-5995,-10990
-7350,-5846
-7331,698
-6712,6980
-6160,11479
-5727,13736
-5771,13202
-5431,10819
-5157,8000
-4352,6019
-3310,5306
-1812,5192
-292,4345
1870,1853
3995,-1826
5151,-6294
4778,-9692
2312,-11059
-1886,-10196
-6971,-8081
-12107,-6119
-15666,-5433
-17109,-6436
-16195,-8434
-12829,-10013
-8097,-10255
-2421,-8085
2620,-4478
6567,-417
7751,2304
6438,3149
2635,2418
-2545,1146
-6466,160
-7971,-231
-6284,-1019
-2181,-2745
2087,-5173
4101,-7906
3199,-8892
-42,-7725
-3320,-4678
-4190,-170
-1235,3607
4141,5588
9663,6242
12600,5953
11950,5233
8032,4263
2500,3085
-1978,1354
-3658,-655
-2224,-2475
1380,-3439
5952,-3025
10027,-2028
12544,-1737
13100,-3908
12087,-8027
9549,-12965
6442,-16199
3166,-16429
-48,-13236
-2542,-7709
-4034,-1927
-4109,2063
-3091,3500
-694,2664
2610,1393
5785,939
7751,1924
7653,4202
5280,5748
1793,5458
-1369,2655
-1928,-2689
1197,-8180
7295,-12392
14429,-13503
19746,-11619
21005,-8273
18169,-5158
12177,-3248
5236,-2464
-178,-3209
-1921,-4392
-109,-5787
3611,-6978
7332,-7472
8858,-7002
7555,-5645
3829,-3327
-868,-578
-4957,1458
-6919,1861
-6505,193
-3958,-2888
-664,-5812
1645,-7357
2140,-7050
831,-5280
-1985,-2682
-4014,52
-3739,2125
-917,3481
4396,3711
10315,2967
14851,1575
16019,-156
13427,-2112
8258,-3355
2032,-4064
-2986,-4287
-5671,-4405
-5418,-3928
-3454,-2430
-851,272
1400,4551
2454,9249
2221,12642
1421,13170
690,9556
492,2488
624,-6582
1211,-14803
1624,-19441
1280,-19000
724,-13596
602,-4594
1123,5071
2852,11966
5191,13707
7479,11357
9415,6577
10480,2857
11050,1537
10905,2768
10418,4770
8853,5106
6020,3918
2103,1690
-2446,1184
-5976,3550
-7665,8025
-7175,12263
-4624,13460
-1384,10280
1990,3467
4063,-4618
5042,-10898
5073,-13629
4506,-12795
3619,-10061
2701,-6087
2116,-3092
2388,-1461
3820,-1453
5897,-3019
8349,-5162
10057,-6653
10299,-6512
8444,-4727
4249,-1291
-1253,2062
-6613,4145
-10240,3796
-11070,1850
-8674,-1003
-3918,-3575
1629,-4826
5854,-4640
7545,-4255
6657,-4414
4745,-6386
3454,-9813
4013,-13576
5964,-15828
7693,-15104
7444,-11257
4232,-5742
-1401,-433
-7569,2510
-11756,2701
-12720,1164
-9958,-757
-3618,-2781
5040,-4864
13713,-8625
20731,-13080
24039,-17914
22974,-21004
17713,-20835
9571,-16283
1030,-7907
-4978,657
-6627,5420
-4190,5075
850,348
6510,-6176
10377,-11673
11898,-14570
10271,-14712
6572,-12808
1545,-9998
-3430,-6531
-7641,-3334
-10296,-1200
-11596,-280
-11893,-1195
-11415,-3313
-10775,-6469
-10169,-9192
-9388,-10511
-8597,-10165
-7686,-8310
-7062,-6133
-6381,-3912
-5858,-2795
-4695,-3125
-3348,-4963
-1946,-7752
-349,-10350
412,-12231
-163,-13015
-1871,-12554
-3530,-11491
-3881,-10291
-1804,-8705
2413,-6778
6709,-3707
9057,-190
6927,2580
599,3892
-7922,3244
-15532,387
-19451,-3130
-19243,-5740
-15389,-7521
-9364,-8293
-2743,-9103
3410,-9976
8288,-10363
10514,-9522
9676,-6394
5005,-1675
-2429,3637
-10174,6981
-15759,7288
-17349,4347
-15210,-244
-10928,-4970
-6349,-7844
-3212,-7117
-1670,-3864
-1420,505
-1467,3205
-946,3138
426,109
2504,-3265
5073,-5054
7147,-3761
8197,-425
7846,3146
6134,4259
3283,1910
421,-2855
-1832,-7409
-3333,-8999
-4578,-7152
-5858,-2220
-7559,3904
-9326,8723
-10385,10911
-10035,10304
-8159,7596
-4688,4077
-1118,657
1939,-1075
3870,-1052
4836,-194
4920,202
4850,-1364
5286,-4363
5628,-7862
6288,-9705
6558,-9036
6528,-5495
6271,-625
5559,4171
5082,7138
4251,8434
3146,8741
1790,8553
683,8825
315,8844
606,8312
1037,7034
127,5878
-2326,4956
-5911,5713
-8497,7427
-8202,9618
-4130,10696
2062,10210
8001,7600
10103,3030
8114,-1301
2894,-4015
-2806,-4263
-6083,-2188
-6069,809
-3621,3770
-793,6118
346,7830
-739,9651
-2802,11924
-4460,14007
-4383,15152
-2839,14188
-669,10533
624,5448
548,762
-722,-2482
-2219,-3266
-2721,-2388
-2055,-657
-174,1491
2567,3735
4935,5760
6678,7323
8052,7027
9029,4563
9432,-229
8293,-6447
4332,-11940
-1670,-14881
-8533,-14907
-12707,-12135
-11975,-8232
-5453,-4526
4608,-2551
13569,-2118
17345,-2424
14756,-2943
7272,-2294
-2850,-203
-11043,2793
-15800,5630
-16489,7600
-14485,8586
-11005,8578
-7436,8037
-4021,7567
-2302,8189
-1988,9501
-3112,11159
-4323,12691
-4522,13099
-3192,11312
-399,6916
2569,237
4659,-7059
5655,-13381
5196,-17151
4726,-17932
4759,-16186
5414,-12945
6486,-9988
7292,-8171
7067,-7445
5507,-6966
3448,-4858
1145,-439
-312,5843
-679,12445
41,16965
1677,18502
3242,16547
4084,11938
3165,5924
257,736
-3410,-2136
-6752,-2541
-8386,-1214
-7572,1403
-3647,4068
1984,6314
7553,8169
11154,10061
12594,12408
11594,14885
9130,17038
6525,18175
4745,17992
4052,16601
3766,14292
3670,11660
3262,9315
2175,7781
353,6734
-2136,5487
-4590,4063
-5993,2609
-5500,954
-2718,274
1888,675
5951,2107
7384,2860
5060,1667
93,-1374
-6053,-5922
-9520,-9235
-8959,-9001
-4544,-4498
1519,3485
6874,11125
9343,15254
8850,14296
6949,8400
5502,619
5936,-6033
8644,-8982
12226,-7987
14746,-4457
14852,-650
12068,1750
7173,2259
1390,1015
-3704,-1051
-7170,-2543
-9263,-2902
-10759,-3138
-11528,-3398
-12005,-4626
-11484,-6559
-9542,-8080
-6434,-8203
-3220,-5886
-1337,-1543
-1456,3632
-3551,7931
-6843,9858
-8738,9087
-9398,5934
-8681,1774
-7818,-2355
-7403,-5458
-6969,-7088
-6443,-7503
-5469,-6498
-4460,-4699
-4097,-3134
-5097,-2210
-6710,-1855
-7214,-2368
-5570,-2941
-1267,-1753
3710,727
6872,4517
6885,7700
4349,8791
1702,7355
1893,4002
6227,630
12576,-1472
17321,-1409
17845,-261
13089,859
4157,919
-5965,-64
-13177,-1577
-15487,-2456
-13571,-2253
-9040,-845
-3876,952
368,2665
2716,4178
